<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURUSD,5,20200224,051500,1.08221,1.08224,1.08213,1.08218,0,0
EURUSD,5,20200224,052000,1.08217,1.0822,1.08215,1.0822,0,0
EURUSD,5,20200224,052500,1.08221,1.08222,1.08212,1.08212,0,0
EURUSD,5,20200224,053000,1.08212,1.08225,1.08204,1.08204,0,0
EURUSD,5,20200224,053500,1.08205,1.0821,1.08203,1.0821,0,0
EURUSD,5,20200224,054000,1.08211,1.08211,1.08203,1.08203,0,0
EURUSD,5,20200224,054500,1.08203,1.08204,1.08192,1.08196,0,0
EURUSD,5,20200224,055000,1.08196,1.08215,1.08193,1.08215,0,0
EURUSD,5,20200224,055500,1.08214,1.08215,1.08213,1.08213,0,0
EURUSD,5,20200224,060000,1.08213,1.0822,1.08207,1.08215,0,0
EURUSD,5,20200224,060500,1.08211,1.08212,1.08205,1.0821,0,0
EURUSD,5,20200224,061000,1.0821,1.08215,1.08205,1.08208,0,0
EURUSD,5,20200224,061500,1.08209,1.08218,1.08209,1.08212,0,0
EURUSD,5,20200224,062000,1.08213,1.08215,1.08191,1.08192,0,0
EURUSD,5,20200224,062500,1.08192,1.08195,1.08179,1.08186,0,0
EURUSD,5,20200224,063000,1.08186,1.08208,1.08186,1.08208,0,0
EURUSD,5,20200224,063500,1.08208,1.08215,1.08207,1.08215,0,0
EURUSD,5,20200224,064000,1.08211,1.08213,1.08201,1.08202,0,0
EURUSD,5,20200224,064500,1.08202,1.08202,1.08177,1.08177,0,0
EURUSD,5,20200224,065000,1.08176,1.08183,1.08165,1.08173,0,0
EURUSD,5,20200224,065500,1.08174,1.08182,1.0815,1.0815,0,0
EURUSD,5,20200224,070000,1.08151,1.08196,1.08151,1.08182,0,0
EURUSD,5,20200224,070500,1.08181,1.08187,1.08171,1.08181,0,0
EURUSD,5,20200224,071000,1.08182,1.08194,1.08182,1.08191,0,0
EURUSD,5,20200224,071500,1.08191,1.08192,1.08175,1.08181,0,0
EURUSD,5,20200224,072000,1.08183,1.08187,1.0818,1.08185,0,0
EURUSD,5,20200224,072500,1.08185,1.08197,1.0818,1.0819,0,0
EURUSD,5,20200224,073000,1.08191,1.08203,1.0817,1.082,0,0
EURUSD,5,20200224,073500,1.08198,1.08204,1.08195,1.08204,0,0
EURUSD,5,20200224,074000,1.08215,1.08215,1.08189,1.08189,0,0
EURUSD,5,20200224,074500,1.08188,1.08196,1.08172,1.08172,0,0
EURUSD,5,20200224,075000,1.08174,1.08187,1.0817,1.08183,0,0
EURUSD,5,20200224,075500,1.08183,1.08183,1.08156,1.08167,0,0
EURUSD,5,20200224,080000,1.08166,1.08194,1.0812,1.0814,0,0
EURUSD,5,20200224,080500,1.08143,1.08147,1.0807,1.08096,0,0
EURUSD,5,20200224,081000,1.08098,1.08125,1.0809,1.08108,0,0
EURUSD,5,20200224,081500,1.08106,1.08125,1.08096,1.08116,0,0
EURUSD,5,20200224,082000,1.08114,1.08144,1.08109,1.08144,0,0
EURUSD,5,20200224,082500,1.08146,1.08161,1.08144,1.08156,0,0
EURUSD,5,20200224,083000,1.08155,1.08155,1.08132,1.08149,0,0
EURUSD,5,20200224,083500,1.08149,1.08175,1.08149,1.08162,0,0
EURUSD,5,20200224,084000,1.08168,1.08168,1.08137,1.08144,0,0
EURUSD,5,20200224,084500,1.08136,1.08156,1.08121,1.0815,0,0
EURUSD,5,20200224,085000,1.08148,1.0817,1.08148,1.08163,0,0
EURUSD,5,20200224,085500,1.08162,1.08173,1.08156,1.08171,0,0
EURUSD,5,20200224,090000,1.08176,1.08223,1.08155,1.0819,0,0
EURUSD,5,20200224,090500,1.0819,1.08265,1.08188,1.08265,0,0
EURUSD,5,20200224,091000,1.08265,1.08285,1.08228,1.08228,0,0
EURUSD,5,20200224,091500,1.08227,1.08285,1.08218,1.08249,0,0
EURUSD,5,20200224,092000,1.08239,1.08271,1.08229,1.0824,0,0
EURUSD,5,20200224,092500,1.0824,1.08281,1.0824,1.08279,0,0
EURUSD,5,20200224,093000,1.08285,1.08285,1.08224,1.08239,0,0
EURUSD,5,20200224,093500,1.08238,1.08238,1.08203,1.08221,0,0
EURUSD,5,20200224,094000,1.0822,1.08245,1.08213,1.08239,0,0
EURUSD,5,20200224,094500,1.08236,1.0824,1.08202,1.08202,0,0
EURUSD,5,20200224,095000,1.08203,1.08235,1.08178,1.08235,0,0
EURUSD,5,20200224,095500,1.08229,1.0828,1.08221,1.08269,0,0
EURUSD,5,20200224,100000,1.08265,1.0842,1.08264,1.08416,0,0
EURUSD,5,20200224,100500,1.08415,1.08415,1.08332,1.08333,0,0
EURUSD,5,20200224,101000,1.08334,1.08347,1.08317,1.08317,0,0
EURUSD,5,20200224,101500,1.08317,1.08317,1.08283,1.08284,0,0
EURUSD,5,20200224,102000,1.08286,1.08286,1.08199,1.08215,0,0
EURUSD,5,20200224,102500,1.08215,1.08223,1.08209,1.08217,0,0
EURUSD,5,20200224,103000,1.08216,1.08258,1.0821,1.08248,0,0
EURUSD,5,20200224,103500,1.08246,1.08266,1.08242,1.0825,0,0
EURUSD,5,20200224,104000,1.08249,1.0825,1.08212,1.08216,0,0
EURUSD,5,20200224,104500,1.08218,1.08223,1.08143,1.08151,0,0
EURUSD,5,20200224,105000,1.08146,1.08198,1.08143,1.08151,0,0
EURUSD,5,20200224,105500,1.0815,1.08173,1.08145,1.08156,0,0
EURUSD,5,20200224,110000,1.08157,1.08194,1.08157,1.08174,0,0
EURUSD,5,20200224,110500,1.08174,1.08227,1.08155,1.08225,0,0
EURUSD,5,20200224,111000,1.08224,1.08259,1.08224,1.08229,0,0
EURUSD,5,20200224,111500,1.08225,1.08231,1.08186,1.08197,0,0
EURUSD,5,20200224,112000,1.08197,1.08204,1.08183,1.08188,0,0
EURUSD,5,20200224,112500,1.08188,1.08188,1.08147,1.08149,0,0
EURUSD,5,20200224,113000,1.08145,1.0816,1.0813,1.08146,0,0
EURUSD,5,20200224,113500,1.08144,1.08184,1.08144,1.0817,0,0
EURUSD,5,20200224,114000,1.08167,1.08184,1.08145,1.08145,0,0
EURUSD,5,20200224,114500,1.08144,1.08189,1.08141,1.08189,0,0
EURUSD,5,20200224,115000,1.08184,1.08186,1.0815,1.08158,0,0
EURUSD,5,20200224,115500,1.08158,1.08183,1.08153,1.08155,0,0
EURUSD,5,20200224,120000,1.08154,1.08169,1.08153,1.08154,0,0
EURUSD,5,20200224,120500,1.08154,1.08157,1.08136,1.08157,0,0
EURUSD,5,20200224,121000,1.08157,1.08226,1.08157,1.08198,0,0
EURUSD,5,20200224,121500,1.08197,1.0823,1.08196,1.08213,0,0
EURUSD,5,20200224,122000,1.08215,1.08219,1.08183,1.08195,0,0
EURUSD,5,20200224,122500,1.082,1.08233,1.08199,1.08223,0,0
EURUSD,5,20200224,123000,1.08223,1.08252,1.0822,1.08243,0,0
EURUSD,5,20200224,123500,1.08241,1.08252,1.08211,1.08216,0,0
